,name,nation,club,position,alternative positions,age,overall,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,height,weight,preferred foot,weak foot,league,att work rate,def work rate,skill moves,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Gender
0,Kylian Mbappé,France,Paris SG,ST,"ST, LW, CF",25,91,97,90,80,92,36,78,97,97,93,94,90,83,84,84,83,78,69,86,71,80,93,82,93,92,93,88,38,73,26,34,32,88,88,77,64,"182CM / 6'0""FT",75KG / 165LBS,Right,4,Ligue 1 Uber Eats,High,Low,5,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kylian-mbappe/231747,,,,,,M
2,Erling Haaland,Norway,Manchester City,ST,"ST, CF",24,91,89,93,66,80,45,88,82,94,96,96,94,86,90,84,74,47,62,77,53,77,76,72,94,82,79,87,43,83,38,47,29,93,76,93,87,"195CM / 6'5""FT",94KG / 207LBS,Left,3,Premier League,High,Medium,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/erling-haaland/239085,,,,,,M
3,Kevin De Bruyne,Belgium,Manchester City,CM,"CM, CAM",33,91,72,88,94,87,65,78,72,72,88,85,92,92,83,83,95,95,83,94,94,92,74,78,92,92,86,88,66,55,66,70,53,72,88,74,75,"181CM / 5'11""FT",75KG / 165LBS,Right,5,Premier League,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-de-bruyne/192985,,,,,,M
5,Lionel Messi,Argentina,Inter Miami CF,CF,"CF, CAM, ST",37,90,80,87,90,94,33,64,87,74,91,89,83,90,86,75,92,83,93,91,90,93,91,95,88,93,96,96,40,60,20,35,24,71,70,68,44,"169CM / 5'7""FT",67KG / 148LBS,Left,4,MLS,Low,Low,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lionel-messi/158023,,,,,,M
7,Karim Benzema,France,Al Ittihad,CF,"CF, ST",36,90,79,88,83,87,39,78,78,79,92,91,87,81,88,85,90,75,73,89,76,82,77,72,92,91,87,90,39,90,43,24,18,85,82,82,63,"185CM / 6'1""FT",81KG / 179LBS,Right,4,ROSHN Saudi League,Medium,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/karim-benzema/165153,,,,,,M
8,Thibaut Courtois,Belgium,Real Madrid,GK,GK,32,90,85,89,76,93,46,90,42,52,13,14,57,17,12,27,44,14,20,33,35,19,63,45,88,23,13,66,15,13,20,18,16,68,38,70,23,"199CM / 6'6""FT",96KG / 212LBS,Left,3,LALIGA EA SPORTS,Medium,Medium,1,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thibaut-courtois/192119,85,89,76,90,93,M
9,Harry Kane,England,FC Bayern München,ST,"ST, CF",31,90,69,93,84,83,49,83,67,71,94,95,93,87,89,92,87,80,65,87,88,82,66,73,93,87,82,92,42,89,46,46,38,87,83,84,80,"188CM / 6'2""FT",89KG / 196LBS,Right,5,Bundesliga,High,High,3,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/harry-kane/202126,,,,,,M
11,Robert Lewandowski,Poland,FC Barcelona,ST,"ST, CF",36,90,75,91,80,87,44,84,76,75,94,93,91,84,89,90,81,76,85,84,70,79,77,83,93,90,86,88,49,91,35,42,19,92,76,89,81,"185CM / 6'1""FT",81KG / 179LBS,Right,4,LALIGA EA SPORTS,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-lewandowski/188545,,,,,,M
12,Mohamed Salah,Egypt,Liverpool,RW,"RW, RM",32,89,89,87,81,88,45,76,89,89,92,92,82,84,83,81,84,80,69,84,77,84,89,91,93,86,88,90,55,59,38,43,41,80,87,75,63,"175CM / 5'9""FT",71KG / 157LBS,Left,3,Premier League,High,Medium,4,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohamed-salah/209331,,,,,,M
15,Rúben Dias,Portugal,Manchester City,CB,CB,27,89,62,39,66,69,89,87,54,69,39,29,74,26,32,45,51,54,48,83,76,46,60,56,89,75,64,81,86,87,91,91,87,84,78,90,93,"187CM / 6'2""FT",82KG / 181LBS,Right,4,Premier League,Medium,High,2,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruben-dias/239818,,,,,,M
