Matin;Gouter;Soiree;apres dejeuner;apres diner;tt moment;Travail;Salon_t;Resto;Bar;Variete;Complement;Sucre;Forme;Lieu.achat;type;sexe;CSP;Sport;age;age_Q;frequence
Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;noir;pur;Oui;sachet;GMS;t_inconnu;H;cadre moyen;Oui;39;35-44;1/jour
Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;noir;lait;Non;sachet;GMS;t_variable;F;cadre moyen;Oui;45;45-59;1/jour
Non;Oui;Oui;Non;Oui;Non;Oui;Non;Oui;Non;parfume;pur;Non;sachet;GMS;t_variable;F;autre actif;Oui;47;45-59;+ de 2/jour
Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;parfume;pur;Oui;sachet;GMS;t_variable;H;etudiant;Non;23;15-24;1/jour
Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;parfume;pur;Non;sachet;GMS;t_variable;H;employe;Oui;48;45-59;+ de 2/jour
Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;parfume;pur;Non;sachet;GMS;t_MDD;H;etudiant;Oui;21;15-24;1/jour
Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;parfume;pur;Non;sachet;GMS;t_variable;H;cadre sup;Oui;37;35-44;3 a 6/sem
Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;noir;lait;Non;sachet;GMS;t_variable;F;cadre moyen;Oui;36;35-44;1 a 2/sem
Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;parfume;lait;Non;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;H;cadre sup;Oui;40;35-44;+ de 2/jour
Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;noir;pur;Non;sachet+vrac;GMS+mag.spe.;t_haut_de_gamme;H;cadre sup;Non;37;35-44;+ de 2/jour
Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;parfume;pur;Non;sachet;GMS;t_inconnu;H;cadre moyen;Oui;32;25-34;1/jour
Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Non;parfume;pur;Oui;sachet;GMS;t_variable;H;cadre moyen;Oui;31;25-34;1/jour
