Horodateur,À quelle fréquence assistes-tu aux cours magistraux ? ,  Comment travailles-tu le plus souvent ?  ,  Quelle est ta méthode dominante pour préparer les examens ?  ,  Quelle est ta motivation principale dans tes études ?  ,"  En moyenne, combien de temps passes-tu sur écran par jour ? ( hors cours obligatoires)   ",  À quoi servent principalement les études supérieures selon toi ?  ,  Peut-on réussir sans études supérieures ?  ,  Quelle est ta vision de la réussite professionnelle ?  ,"  Après tes études, tu te projettes plutôt comme :  ",  Activité extra-académique dominante  ,Où habites-tu pendant l’année universitaire ? ,  Quel type de baccalauréat as-tu obtenu ?  
20/02/2026 16:12:13,Souvent,En groupe,Exercices / annales,Obtenir un bon diplôme,2–4h,Obtenir un diplôme reconnu,"Oui, mais plus difficilement",Revenus élevés,Salarié dans le privé,Sport régulier,Chez tes parents,Général
20/02/2026 16:12:48,Toujours ou presque,Alternance seul/groupe,Exercices / annales,Insertion professionnelle rapide,4–6h,Obtenir un diplôme reconnu,"Oui, mais plus difficilement",Revenus élevés,Profession libérale / indépendant,"Activité culturelle (musique, lecture, arts)",Seul(e),Général
20/02/2026 16:12:59,Toujours ou presque,Alternance seul/groupe,Exercices / annales,Obtenir un bon diplôme,2–4h,Acquérir des compétences concrètes,"Oui, très souvent",Autonomie / indépendance,Entrepreneur,Sport régulier,Chez tes parents,Général
20/02/2026 16:13:10,Souvent,Seul(e),"Supports numériques (vidéos, IA, plateformes)",Obtenir un bon diplôme,Plus de 6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Revenus élevés,Salarié dans le privé,"Activité culturelle (musique, lecture, arts)",Résidence universitaire,Général
20/02/2026 16:13:11,Toujours ou presque,En groupe,Exercices / annales,Obtenir un bon diplôme,4–6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Stabilité et sécurité,Profession libérale / indépendant,Sport régulier,Chez tes parents,Général
20/02/2026 16:13:17,Toujours ou presque,Seul(e),Exercices / annales,Je ne suis pas sûr(e) de mes objectifs,4–6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Équilibre vie pro / vie perso,Salarié dans le privé,Peu d’activité régulière,Seul(e),Général
20/02/2026 16:13:28,Toujours ou presque,Alternance seul/groupe,Exercices / annales,Obtenir un bon diplôme,2–4h,C’est surtout un passage obligé,Rarement,Autonomie / indépendance,Entrepreneur,Engagement associatif,Seul(e),Général
20/02/2026 16:13:38,Rarement,Seul(e),Exercices / annales,Obtenir un bon diplôme,Plus de 6h,Obtenir un diplôme reconnu,"Oui, très souvent",Revenus élevés,Salarié dans le privé,"Activité culturelle (musique, lecture, arts)",Seul(e),Équivalence / autre parcours
20/02/2026 16:13:38,Souvent,Seul(e),Exercices / annales,Obtenir un bon diplôme,4–6h,Obtenir un diplôme reconnu,"Oui, mais plus difficilement",Autonomie / indépendance,Entrepreneur,Sport régulier,Seul(e),Général
20/02/2026 16:13:48,Souvent,Seul(e),Exercices / annales,Obtenir un bon diplôme,2–4h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Équilibre vie pro / vie perso,Fonctionnaire,Engagement associatif,Seul(e),Général
20/02/2026 16:13:51,Toujours ou presque,Seul(e),Fiches synthétiques personnelles,Je ne suis pas sûr(e) de mes objectifs,4–6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Équilibre vie pro / vie perso,Salarié dans le privé,Peu d’activité régulière,Seul(e),Général
20/02/2026 16:13:54,Occasionnellement,Seul(e),Exercices / annales,Obtenir un bon diplôme,Plus de 6h,Obtenir un diplôme reconnu,Rarement,Autonomie / indépendance,Profession libérale / indépendant,Engagement associatif,En colocation,Général
20/02/2026 16:14:49,Toujours ou presque,Seul(e),Relecture passive des cours,Obtenir un bon diplôme,4–6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Stabilité et sécurité,Fonctionnaire,"Activité culturelle (musique, lecture, arts)",Chez tes parents,Général
20/02/2026 16:14:54,Toujours ou presque,Alternance seul/groupe,Exercices / annales,Insertion professionnelle rapide,2–4h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Stabilité et sécurité,Salarié dans le privé,Sport régulier,Seul(e),Général
20/02/2026 16:15:03,Souvent,Seul(e),Exercices / annales,Insertion professionnelle rapide,4–6h,Acquérir des compétences concrètes,"Oui, mais plus difficilement",Autonomie / indépendance,Salarié dans le privé,Peu d’activité régulière,Seul(e),Général
