"age","sexe","nivetud","occup","qualif","freres.soeurs","clso","relig","trav.imp","trav.satisf","hard.rock","lecture.bd","peche.chasse","cuisine","bricol","cinema","sport","heures.tv","age_group"
28,"Femme","Supérieur & tech","Exerce une profession","Employe",8,"Oui","Ni croyance ni appartenance","Peu important","Insatisfaction","Non","Non","Non","Oui","Non","Non","Non",0,"25-34"
23,"Femme",NA,"Etudiant, eleve",NA,2,"Oui","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Non","Non","Oui","Oui",1,"18-24"
59,"Homme","Primaires","Exerce une profession","Technicien",2,"Non","Ni croyance ni appartenance","Aussi important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Oui",0,"50-64"
34,"Homme","Supérieur & tech","Exerce une profession","Technicien",1,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Oui","Oui",2,"25-34"
71,"Femme","Primaires","Retraite","Employe",0,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",3,"65+"
35,"Femme","Techno/Pro court","Exerce une profession","Employe",5,"Non","Ni croyance ni appartenance","Le plus important","Equilibre","Non","Non","Non","Non","Non","Oui","Oui",2,"35-49"
60,"Femme","Primaires","Au foyer","Ouvrier qualifie",1,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Oui","Non","Non","Non",2.9,"50-64"
47,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",5,"Non","Ni croyance ni appartenance","Peu important","Insatisfaction","Non","Non","Oui","Oui","Oui","Non","Non",1,"35-49"
20,"Femme",NA,"Etudiant, eleve",NA,4,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Non",2,"18-24"
28,"Homme","Techno/Pro long","Exerce une profession","Autre",2,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Oui",2,"25-34"
65,"Femme","Supérieur & tech","Retraite","Employe",3,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Non",1,"65+"
47,"Homme","2eme cycle","Exerce une profession","Ouvrier qualifie",4,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Oui",0,"35-49"
63,"Femme","Primaires","Retraite","Employe",1,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",4,"50-64"
67,"Femme","Techno/Pro court","Exerce une profession",NA,5,"Oui","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Non","Non",1,"65+"
76,"Femme","< Etudes primaires","Retraite",NA,2,"Oui","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Non","Oui","Non",3,"65+"
49,"Femme","Techno/Pro court","Exerce une profession","Employe",3,"Non","Pratiquant occasionnel","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Oui","Non",0,"35-49"
62,"Homme","Supérieur & tech","Retraite","Cadre",4,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Oui",1,"50-64"
20,"Femme",NA,"Etudiant, eleve",NA,0,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Oui",3,"18-24"
70,"Homme","Primaires","Retraite","Ouvrier specialise",2,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Non","Non",1,"65+"
39,"Femme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",5,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Oui","Oui",2.7,"35-49"
30,"Femme","Techno/Pro court","Exerce une profession","Employe",6,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Non","Non",4,"25-34"
30,"Homme","Techno/Pro court","Exerce une profession","Employe",2,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",6,"25-34"
37,"Femme","Techno/Pro court","Exerce une profession","Employe",4,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Oui","Oui",0,"35-49"
79,"Femme","Primaires","Autre inactif",NA,11,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",7,"65+"
20,"Femme",NA,"Exerce une profession","Ouvrier specialise",0,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Non","Oui","Oui",2,"18-24"
74,"Homme","Supérieur & tech","Retraite","Cadre",2,"Oui","Ni croyance ni appartenance",NA,NA,"Non","Non","Oui","Non","Non","Non","Non",3,"65+"
31,"Femme","Techno/Pro long","Exerce une profession","Ouvrier qualifie",1,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Oui","Non","Non","Non",1,"25-34"
35,"Homme","1er cycle","Exerce une profession","Ouvrier specialise",6,"Non","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Non","Non","Non",1,"35-49"
35,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",2,"Non","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Non",4,"35-49"
30,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",1,"Oui","Ni croyance ni appartenance","Aussi important que le reste","Satisfaction","Non","Non","Oui","Oui","Oui","Oui","Oui",3,"25-34"
54,"Homme","Techno/Pro court","Exerce une profession","Employe",2,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",0,"50-64"
29,"Homme","Techno/Pro court","Exerce une profession","Autre",2,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Oui","Non","Non","Oui","Oui","Oui","Non",1,"25-34"
49,"Homme","< Etudes primaires","Exerce une profession",NA,2,"Oui","Appartenance sans pratique","Moins important que le reste","Equilibre","Non","Non","Oui","Non","Oui","Non","Non",1,"35-49"
59,"Homme","< Etudes primaires","Exerce une profession",NA,9,"Non","Pratiquant occasionnel","Moins important que le reste","Satisfaction","Non","Oui","Non","Oui","Non","Non","Non",2,"50-64"
41,"Femme","Techno/Pro court","Chomeur","Ouvrier qualifie",2,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Oui","Oui","Oui","Oui",2,"35-49"
41,"Femme","1er cycle","Exerce une profession","Employe",3,"Oui","Rejet","Moins important que le reste","Insatisfaction","Non","Non","Non","Non","Non","Oui","Non",4,"35-49"
53,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",0,"Oui","Ni croyance ni appartenance","Moins important que le reste","Equilibre","Non","Non","Non","Non","Oui","Non","Oui",1,"50-64"
19,"Femme",NA,"Etudiant, eleve",NA,1,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Non","Oui","Oui",2,"18-24"
77,"Femme","Primaires","Retraite","Employe",3,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",3,"65+"
56,"Homme","Supérieur & tech","Exerce une profession","Cadre",1,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Oui","Non","Non",3,"50-64"
54,"Femme","Primaires","Chomeur","Employe",9,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Oui","Non","Non","Oui","Non",4,"50-64"
35,"Homme","Techno/Pro court","Exerce une profession","Ouvrier qualifie",8,"Non","Ni croyance ni appartenance","Aussi important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",3,"35-49"
40,"Homme","Supérieur & tech","Exerce une profession","Cadre",3,"Oui","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Oui","Oui","Non","Oui",0.4,"35-49"
62,"Femme",NA,"Retraite","Cadre",2,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Oui",2,"50-64"
68,"Femme","Primaires","Retraite",NA,4,"Non","Pratiquant regulier",NA,NA,"Non","Non","Non","Non","Non","Non","Non",2,"65+"
77,"Homme","Primaires","Retraite","Ouvrier qualifie",0,"Non","NSP ou NVPR",NA,NA,"Non","Non","Non","Non","Oui","Non","Non",2,"65+"
39,"Femme","Techno/Pro court","Exerce une profession","Ouvrier specialise",12,"Non","Pratiquant occasionnel","Peu important","Equilibre","Non","Non","Oui","Oui","Non","Non","Non",3,"35-49"
57,"Femme","1er cycle","Au foyer",NA,6,"Oui","Pratiquant regulier",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",3,"50-64"
43,"Femme","Supérieur & tech","Exerce une profession","Employe",2,"Oui","Pratiquant occasionnel","Aussi important que le reste","Equilibre","Non","Non","Non","Non","Non","Non","Non",2,"35-49"
34,"Femme","Supérieur & tech","Exerce une profession","Cadre",2,"Non","Appartenance sans pratique","Moins important que le reste","Satisfaction","Non","Non","Non","Non","Non","Non","Non",0,"25-34"
60,"Homme","Primaires","Retraite","Profession intermediaire",2,"Non","Appartenance sans pratique",NA,NA,"Non","Non","Non","Non","Oui","Oui","Non",3,"50-64"
41,"Femme","Techno/Pro court","Chomeur","Employe",1,"Non","Ni croyance ni appartenance",NA,NA,"Non","Non","Non","Oui","Non","Non","Non",3,"35-49"
54,"Homme","Techno/Pro court","Exerce une profession","Autre",3,"Oui","Pratiquant regulier","Le plus important","Satisfaction","Non","Non","Non","Non","Non","Non","Non",2,"50-64"
23,"Femme","Supérieur & tech","Au foyer",NA,1,"Non","Pratiquant occasionnel",NA,NA,"Non","Non","Non","Non","Non","Non","Non",3,"18-24"
26,"Homme","Supérieur & tech","Exerce une profession","Technicien",1,"Oui","Rejet","Peu important","Insatisfaction","Non","Non","Non","Non","Non","Oui","Oui",1.4,"25-34"
23,"Femme","Techno/Pro long","Exerce une profession","Ouvrier specialise",1,"Oui","Pratiquant occasionnel","Aussi important que le reste","Satisfaction","Non","Non","Non","Oui","Non","Non","Non",2,"18-24"
